601,General de Ley Personas Morales
603,Personas Morales con Fines no Lucrativos
605,Sueldos y Salarios e Ingresos Asimilados a Salarios
606,Arrendamiento
607,R‚gimen de Enajenaci¢n o Adquisici¢n de Bienes
608,Dem s ingresos
610,Residentes en el Extranjero sin Establecimiento Permanente en M‚xico
611,Ingresos por Dividendos (socios y accionistas)
612,Personas F¡sicas con Actividades Empresariales y Profesionales
614,Ingresos por intereses
615,R‚gimen de los ingresos por obtenci¢n de premios
616,Sin obligaciones fiscales
620,Sociedades Cooperativas de Producci¢n que optan por diferir sus ingresos
621,Incorporaci¢n Fiscal
622,"Actividades Agr¡colas, Ganaderas, Silv¡colas y Pesqueras"
623,Opcional para Grupos de Sociedades
624,Coordinados
625,R‚gimen de las Actividades Empresariales con ingresos a trav‚s de Plataformas Tecnol¢gicas
626,R‚gimen Simplificado de Confianza
